"","subject_race","search_conducted","contraband_found","outcome","arrest_made","use_of_force_description"
"2031","other/unknown","TRUE","FALSE",NA,"FALSE",NA
"2032","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2033","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2034","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2035","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2036","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2037","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2038","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2039","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2040","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2041","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2042","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2043","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2044","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2045","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2046","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2047","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2048","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2049","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2050","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2051","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2052","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2053","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2054","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2055","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2056","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2057","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2058","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2059","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2060","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2061","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2062","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2063","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
